evaluation/Actions Mean,evaluation/Num Paths,trainer/Q Targets Min,time/epoch (s),trainer/Log Pis Max,evaluation/Returns Max,evaluation/num paths total,trainer/Policy log std Mean,trainer/Policy mu Min,exploration/Rewards Mean,trainer/Q Targets Mean,trainer/Policy log std Min,trainer/Policy mu Max,trainer/Policy Loss,trainer/Alpha,time/training (s),trainer/Q2 Predictions Std,evaluation/Returns Std,trainer/Log Pis Mean,time/saving (s),evaluation/path length Std,exploration/Actions Mean,exploration/Rewards Min,evaluation/Rewards Std,evaluation/Returns Min,time/logging (s),evaluation/Returns Mean,evaluation/Average Returns,exploration/Returns Std,exploration/path length Max,exploration/Actions Max,trainer/Q1 Predictions Std,evaluation/path length Mean,exploration/path length Min,trainer/Policy log std Std,time/evaluation sampling (s),evaluation/Rewards Max,trainer/Q1 Predictions Mean,trainer/Q2 Predictions Max,trainer/Q1 Predictions Min,exploration/path length Std,trainer/QF2 Loss,replay_buffer/size,time/exploration sampling (s),exploration/num steps total,exploration/Average Returns,trainer/Q Targets Std,evaluation/num steps total,exploration/Returns Min,trainer/Policy mu Std,exploration/path length Mean,trainer/Log Pis Std,trainer/Q1 Predictions Max,Epoch,exploration/Actions Min,trainer/Q2 Predictions Mean,trainer/Log Pis Min,trainer/Q Targets Max,trainer/Alpha Loss,evaluation/path length Max,exploration/Returns Mean,trainer/Policy mu Mean,trainer/QF1 Loss,exploration/Num Paths,evaluation/path length Min,exploration/Returns Max,exploration/num paths total,evaluation/Rewards Min,exploration/Rewards Max,time/total (s),trainer/Policy log std Max,time/data storing (s),evaluation/Actions Max,evaluation/Actions Std,evaluation/Actions Min,exploration/Rewards Std,trainer/Q2 Predictions Min,exploration/Actions Std,evaluation/Rewards Mean
0.00082200865,333,0.0,4.17811974498909,-0.5372956,0.16582782498912452,333,0.00083897496,-0.00010668568,0.15427954913114034,1.6395509,-0.0018825554,0.0018118639,-1.3527938,0.997004508972168,1.5086942570051178,0.0012294491,0.05390692830449017,-1.3540101,0.06173248399863951,0.0,-0.02423933,-0.0,0.00455304730206688,7.978845608028654e-12,0.024099731992464513,0.04225163175856308,0.04225163175856308,1.7426271048171,15,0.98806775,0.00037610615,15.0,15,0.0021113364,1.6708097549853846,0.022058532261115166,0.0012935684,0.0009808855,0.00050344993,0.0,3.4164586,2150,0.03469373600091785,1075,2.3141932369671054,0.8507119,4995,0.16032345665239034,0.0007094216,15.0,0.3123575,0.002253749,0,-0.9702548,-0.0012310452,-1.8345538,4.4745936,-0.0,15,2.3141932369671054,0.0008195977,3.40752,5,15,4.456687029795196,72,-0.0,2.140678992598652,52.9903079259675,0.0032534779,0.8780897810065653,0.0017348698,0.00071306044,-0.00014089106,0.36239486516234665,-0.0036103777,0.6171434,0.002816775450570872
0.0028498445,333,0.0,4.280948528001318,-1.1083729,2.57020367210512,666,-0.14198337,-0.018074065,0.048363944304572096,1.6494664,-0.17625879,0.023897262,-3.047322,0.738412618637085,1.5364916159887798,0.22227298,0.8798341912284064,-1.3633971,0.028760996996425092,0.0,-0.013736078,-0.0,0.07530600979777397,7.978845608028654e-12,0.021660274011082947,0.7772045045063251,0.7772045045063251,0.8664612808346943,15,0.9646037,0.21401754,15.0,15,0.020658405,1.7021260019973852,0.34512244200941716,1.6767876,2.4459703,1.2377858,0.0,0.7377423,2300,0.031019631016533822,1150,0.7254591645685816,0.91471976,9990,7.978845608028654e-12,0.016460996,15.0,0.14768168,2.413296,1,-0.98844653,1.6794187,-2.1037335,5.0860996,-1.0098614692687988,15,0.7254591645685816,0.0028467919,0.74197286,5,15,2.0465528826880615,77,-0.0,0.9469333443735006,57.426229405013146,-0.10359235,0.9608900079911109,0.024532478,0.016158937,-0.01851803,0.14472606041090672,1.2104203,0.60094434,0.05181363363375501
0.002125406,333,0.0,4.406443187064724,-0.98934233,2.1465020906776973,999,-0.10550867,-0.014290265,0.021415042081718388,1.5580053,-0.11787521,0.01725358,-2.8262396,0.5469911098480225,1.536756879009772,0.403086,0.7101780511918897,-1.361371,0.030332074005855247,0.0,-0.033593412,-0.0,0.060179948350226116,7.978845608028654e-12,0.02246093301801011,0.5876725090463245,0.5876725090463245,0.46162540587242074,15,0.99636626,0.3775053,15.0,15,0.0036049786,1.6993798230250832,0.2865290297309031,1.4874249,2.8544362,0.79898137,0.0,0.43600118,2450,0.03360219899332151,1225,0.3212256312257758,0.690512,14985,7.978845608028654e-12,0.013748982,15.0,0.1711314,2.7574112,2,-0.97007775,1.5091667,-1.7986927,4.5730724,-2.0179004669189453,15,0.3212256312257758,0.0023541376,0.43099508,5,15,1.1969122092041522,82,-0.0,0.5965380602197891,62.01589174300898,-0.09775316,1.083911279012682,0.017170608,0.013856179,-0.013751698,0.08300039025848306,0.80109006,0.6046977,0.03917816726975496
0.020345647,333,0.0,4.826622986030998,-0.7345973,16.569068359289634,1332,-0.14299782,-0.0950447,0.21928636630013282,1.8740455,-0.19585407,0.1754031,-3.2567885,0.40523970127105713,1.656325627991464,0.6099039,3.213872061119043,-1.3834455,0.036163194017717615,0.0,0.049921215,-0.0,0.25051445481521106,7.978845608028654e-12,0.02491256600478664,1.5324935381057552,1.5324935381057552,3.3021801092893397,15,0.98928934,0.54150766,15.0,15,0.011426761,1.7942065469978843,2.210868604932653,1.9393032,3.8296888,1.0457447,0.0,0.4680112,2600,0.036555472004693,1300,3.2892954945019914,0.8874325,19980,1.299039192785742,0.082759865,15.0,0.22488734,3.6373494,3,-0.9746251,1.9415781,-2.4788208,4.9485226,-3.0460641384124756,15,3.2892954945019914,0.022112442,0.5223132,5,15,9.8530762038448,87,-0.0,2.329789139680133,67.02860844301176,-0.11711475,1.2784595790144522,0.19404632,0.07718611,-0.10656857,0.425354555484254,0.8398489,0.58075005,0.102166235873717
-0.0075513334,333,0.0,4.952778934995877,-0.38417196,29.450164194150027,1665,-0.12582952,-0.2557632,0.09902325592556455,1.9766388,-0.1731357,0.4438672,-3.1343095,0.3006373941898346,1.565270769991912,0.6366623,5.27355256114404,-1.3141857,0.031889147008769214,0.0,-0.013450674,-0.0,0.4325192383812655,7.978845608028654e-12,0.022670601989375427,3.4590911371179374,3.4590911371179374,1.12957375099401,15,0.9972095,0.60578126,15.0,15,0.016630484,2.0900074660021346,4.65694946972722,1.944046,4.2565813,0.8404363,0.0,0.52855873,2750,0.03957074199570343,1375,1.4853488388834681,0.9518754,24975,0.18745810998108536,0.12654054,15.0,0.30367148,4.4157925,4,-0.9684712,1.8297544,-2.8491352,5.1733093,-3.973344087600708,15,1.4853488388834681,-0.016257841,0.56538975,5,15,3.5817363866791716,92,-0.0,1.3132262057336712,72.22313837701222,-0.089481466,1.203370208007982,0.45928296,0.14155965,-0.27789333,0.2778819023733858,0.6001665,0.60031563,0.2306060758078625
-0.02432251,333,0.0,4.85348152500228,-0.06353235,35.79818865493884,1998,-0.10355671,-0.34780383,0.053458152275586944,2.0672493,-0.15717286,0.4014813,-3.4224455,0.2240425944328308,1.589041280996753,0.8843324,6.588275119248485,-1.286723,0.03114631600328721,0.0,-0.06277257,-0.0,0.5533623777726329,7.978845608028654e-12,0.021207011013757437,3.61170924269006,3.61170924269006,1.3250150828126546,15,0.98066854,0.8515941,15.0,15,0.015261584,1.9597715029958636,5.803725355750745,2.171423,4.5643396,0.77273107,0.0,0.3797194,2900,0.035261351004010066,1450,0.801872284133804,0.98197854,29970,7.978845608028654e-12,0.1727416,15.0,0.3299686,4.876911,5,-0.9657836,2.1980555,-2.0101247,6.143374,-4.906999111175537,15,0.801872284133804,-0.020119432,0.41216654,5,15,3.4412045853470246,97,-0.0,1.194746653522857,77.33855644401046,-0.084763385,1.217054062988609,0.56691706,0.17480378,-0.4875354,0.17012136273998346,0.74680513,0.5708633,0.24078061617933735
-0.054918773,333,0.0,5.097234864049824,1.1508713,65.912296043627,2331,-0.3027378,-1.1533253,0.1873470326793662,2.2586012,-0.50810456,1.2562637,-3.0167322,0.1694730520248413,1.8348698250192683,1.1166635,10.764903402065856,-0.7427605,0.03330223698867485,0.0,-0.0218976,-0.0,1.1614650614671578,7.978845608028654e-12,0.019482959003653377,5.451378874957978,5.451378874957978,2.559792153464742,15,0.9357905,1.10182,15.0,15,0.07554852,1.9139637410116848,13.159194584958243,2.1881618,5.3634753,0.31197217,0.0,0.7145992,3050,0.037802927021402866,1525,2.8102054901904925,1.2271497,34965,0.042947716160012694,0.57169765,15.0,0.94122165,5.3249025,6,-0.98908746,2.1194768,-6.2517757,8.807522,-4.86112117767334,15,2.8102054901904925,-0.05260756,0.6966636,5,15,6.316433275190509,102,-0.0,2.492873924803741,82.77346858501551,-0.16365823,1.2578131750051398,0.97792137,0.60662824,-0.9250592,0.42532371834932503,0.1225525,0.6210465,0.3634252583305319
0.05897174,333,0.0,5.7483294030244,3.5950994,75.81433117588925,2664,-0.44373474,-1.8167605,0.010740396342324798,2.5032291,-0.87570214,1.544492,-2.8468716,0.1309002786874771,2.397491161013022,1.3704177,10.863012462666791,-0.26658833,0.03317835199413821,0.0,-0.031236941,-0.0,1.262812186992945,7.978845608028654e-12,0.022229550988413393,6.775989205772217,6.775989205772217,0.13379755503899965,15,0.9896183,1.4443916,15.0,15,0.115863785,1.9367929180152714,13.206719564668951,2.3967571,7.8971524,0.26735163,0.0,0.48449084,3200,0.035814850009046495,1600,0.16110594513487198,1.5982176,39960,2.187953093484493e-05,0.83573234,15.0,1.3961059,8.717583,7,-0.99728566,2.410128,-8.91848,9.243629,-4.603665828704834,15,0.16110594513487198,0.04220682,0.5078358,5,15,0.334127025215491,107,-0.0,0.3289402104370878,88.85274603997823,-0.17258853,1.322822571004508,0.96057665,0.75278986,-0.9656349,0.04607256250263198,0.17266688,0.76758933,0.4517326137181478
-0.34448797,333,0.0,5.7274209480092395,6.7897444,97.83347088045763,2997,-0.41137013,-2.7771206,0.012587181114201868,3.0515933,-0.74230975,1.7505404,-3.0689688,0.10519733279943466,2.2342030899890233,2.3518827,16.58424989599148,0.30875316,0.031870837992755696,0.0,-0.37002787,-0.0,1.5964056191503764,0.006415484973001628,0.022971282014623284,7.108918079877742,7.108918079877742,0.12354749100396979,15,0.99499154,2.511377,15.0,15,0.0988008,1.9945896050194278,13.788173014279847,3.2534432,16.06274,0.1417928,0.0,0.71718705,3350,0.03913136399933137,1675,0.18880771671302798,2.2179217,44955,0.021561053696381813,0.98537076,15.0,2.0006382,17.427324,8,-0.9977797,3.2074008,-6.86594,11.751153,-3.805492877960205,15,0.18880771671302798,-0.4256361,1.1099563,5,15,0.38130658891410457,112,2.5896769640424722e-219,0.25215330191791246,94.94498982594814,-0.1937177,1.404654768994078,0.98700595,0.7618682,-0.9973546,0.04238987555112325,-0.018085718,0.6914754,0.4739278719918495
-0.1695198,333,0.0,5.835841811989667,5.112219,77.86823933413558,3330,-0.44661894,-2.0541296,0.12353562700057727,3.3534405,-0.9141914,2.245958,-3.0435977,0.0882733017206192,2.3063034639926627,2.0752988,15.330338821717582,0.55081105,0.03207273897714913,0.0,-0.12314114,-0.0,1.7939327758206947,7.978845608028654e-12,0.023169158026576042,10.070970807242274,10.070970807242274,2.7320671047398832,15,0.99750584,2.0024908,15.0,15,0.118105106,1.982327917998191,12.620403682772904,3.2541075,11.525082,0.22873548,0.0,1.3931026,3500,0.036284183006500825,1750,1.8530344050086591,2.5250924,49950,7.978845608028654e-12,1.1507883,15.0,1.8149058,11.153238,9,-0.998199,3.3726707,-5.1842756,13.77739,-3.5155417919158936,15,1.8530344050086591,-0.28696072,1.3938023,5,15,7.1911365867544275,117,-0.0,2.6272068521493397,101.21902813290944,-0.12854093,1.4556843499885872,0.9962154,0.80058634,-0.9941642,0.4289603295162294,0.2535065,0.82156867,0.6713980538161516
